,sitename,PISCO_CODE,lat_wgs84,lon_wgs84,associated_mpa,MPA_STATUS,YEAR_MPA,island,CAMPUS,year,month,day,method
73,LA_CRUZ_DC,SLAC02,-121.324076,35.7104256,Piedras Blancas SMR,SMR,2007,Mainland,UCSC,2003,8,6,SBTL_SWATH
74,LA_CRUZ_UC,SLAC01,-121.3253889,35.7130091,Piedras Blancas SMR,SMR,2007,Mainland,UCSC,2003,8,6,SBTL_SWATH
75,LEO_CARRILLO_CEN,SLEC01,-118.9219833,34.03761667,NONE,reference,0,Mainland,UCSB,2010,10,15,SBTL_SWATH
76,LINGCOD_DC,SLNG02,-121.9621852,36.5620276,Carmel Bay SMCA,reference,0,Mainland,UCSC,2001,10,31,SBTL_SWATH
77,LINGCOD_UC,SLNG01,-121.968571,36.5654851,Carmel Bay SMCA,reference,0,Mainland,UCSC,2001,10,31,SBTL_SWATH
78,LITTLE_DUME_CEN,SLID01,-118.7891167,34.00491667,Point Dume SMR,SMR,0,Mainland,UCSB,2010,10,14,SBTL_SWATH
79,LITTLE_IRISH_CEN,SLIR02,-120.8177329,35.1780594,Pt. Buchon SMR,reference,0,Mainland,UCSC,2007,10,26,SBTL_SWATH
80,LITTLE_IRISH_DC,SLIR03,-120.8125011,35.1759306,Pt. Buchon SMR,reference,0,Mainland,UCSC,2007,9,28,SBTL_SWATH
81,LITTLE_IRISH_UC,SLIR01,-120.825084,35.1842101,Pt. Buchon SMR,reference,0,Mainland,UCSC,2007,9,27,SBTL_SWATH
82,LONE_TREE_CEN,SLNT01,-121.9706883,36.5664179,Carmel Bay SMCA,reference,0,Mainland,UCSC,2007,8,28,SBTL_SWATH
83,LOPEZ_DC,SLOP03,-121.5812329,36.0222411,Big Creek SMR,reference,0,Mainland,UCSC,2002,8,1,SBTL_SWATH
84,LOPEZ_OLD_UC,SLOP02,-121.5826222,36.0309942,Big Creek SMR,reference,0,Mainland,UCSC,2001,9,13,SBTL_SWATH
85,LOPEZ_UC,SLOP01,-121.5816756,36.0290104,Big Creek SMR,reference,0,Mainland,UCSC,2001,9,13,SBTL_SWATH
86,LOVERS_DC,SLVR02,-121.9107348,36.6257745,Lovers Point SMR,SMR,2007,Mainland,UCSC,2007,7,25,SBTL_SWATH
87,LOVERS_UC,SLVR01,-121.9090818,36.6242203,Lovers Point SMR,SMR,2007,Mainland,UCSC,2007,7,25,SBTL_SWATH
88,LUCIA_DC,SLUC02,-121.5583267,36.0162067,Big Creek SMR,reference,0,Mainland,UCSC,2003,9,21,SBTL_SWATH
89,LUCIA_UC,SLUC01,-121.5646567,36.0160033,Big Creek SMR,reference,0,Mainland,UCSC,2003,9,21,SBTL_SWATH
90,MACABEE_DC,SMAC02,-121.8968352,36.6181844,Edward  Ricketts SMCA,SMCA,2007,Mainland,UCSC,1999,9,9,SBTL_SWATH
91,MACABEE_UC,SMAC01,-121.8956954,36.6171481,Edward  Ricketts SMCA,SMCA,2007,Mainland,UCSC,1999,9,9,SBTL_SWATH
92,MALPASO_CEN,SMAL01,-121.9339835,36.4657472,Pt Lobos SMR,reference,0,Mainland,UCSC,2006,9,5,SBTL_SWATH
93,MCWAY_DC,SMCW02,-121.6815158,36.1638083,Big Creek SMR,reference,0,Mainland,UCSC,2003,9,19,SBTL_SWATH
94,MCWAY_UC,SMCW01,-121.6859819,36.1665739,Big Creek SMR,reference,0,Mainland,UCSC,2003,9,19,SBTL_SWATH
95,MILL_CREEK_DC,SMLC02,-121.491162,35.9720981,Piedras Blancas SMR,reference,0,Mainland,UCSC,2003,9,20,SBTL_SWATH
96,MILL_CREEK_UC,SMLC01,-121.4934892,35.9759288,Piedras Blancas SMR,reference,0,Mainland,UCSC,2003,9,20,SBTL_SWATH
97,MONASTERY_DC,SMON02,-121.9333219,36.5254154,Pt Lobos SMR,SMR,2007,Mainland,UCSC,1999,9,20,SBTL_SWATH
98,MONASTERY_UC,SMON01,-121.9305068,36.5252671,Pt Lobos SMR,SMR,2007,Mainland,UCSC,1999,9,20,SBTL_SWATH
99,MONTANA_DE_ORO_CEN,SMDO01,-120.8908096,35.2332299,Pt. Buchon SMR,SMR,2007,Mainland,UCSC,2007,8,28,SBTL_SWATH
100,NAPLES_CEN,SNAP03,-119.9515,34.42185,Naples SMCA,SMCA,2012,Mainland,UCSB,1999,9,22,SBTL_SWATH
101,NAPLES_E,SNAP02,-119.951017,34.423333,Naples SMCA,SMCA,2012,Mainland,UCSB,1999,9,22,SBTL_SWATH
102,NAPLES_W,SNAP01,-119.955317,34.424633,Naples SMCA,SMCA,2012,Mainland,UCSB,2007,7,31,SBTL_SWATH
103,NORTH_SAN_SIMEON_CEN,SNSM01,-121.2116136,35.635042,Piedras Blancas SMR,reference,0,Mainland,UCSC,2007,7,31,SBTL_SWATH
104,OTTER_PT_DC,SOTT02,-121.9211615,36.6364837,Pac Grove Marine Gardens SMCA,SMCA,2007,Mainland,UCSC,2006,9,13,SBTL_SWATH
105,OTTER_PT_UC,SOTT01,-121.9189292,36.6346329,Pac Grove Marine Gardens SMCA,SMCA,2007,Mainland,UCSC,2006,9,13,SBTL_SWATH
106,PALO_COLORADO_CEN,SPAL01,-121.9114309,36.3977172,Pt Lobos SMR,reference,0,Mainland,UCSC,2006,8,23,SBTL_SWATH
107,PARANOIDS_CEN,SPRN01,-121.100215,35.5371708,White Rock SMCA,SMCA,2007,Mainland,UCSC,2007,8,21,SBTL_SWATH
108,PARTINGTON_CEN,SPAR01,-121.699,36.1743,Big Creek SMR,reference,0,Mainland,UCSC,2003,9,16,SBTL_SWATH
109,PESCADERO_DC,SPES02,-121.9551908,36.5594115,Carmel Bay SMCA,reference,0,Mainland,UCSC,2003,11,2,SBTL_SWATH
110,PESCADERO_UC,SPES01,-121.9597613,36.5611205,Carmel Bay SMCA,reference,0,Mainland,UCSC,2003,11,2,SBTL_SWATH
111,PICO_CREEK_DC,SPCC01,-121.1506953,35.6053224,Cambria SMCA,SMCA,2007,Mainland,UCSC,2007,8,1,SBTL_SWATH
112,PICO_CREEK_UC,SPCC02,-121.1556904,35.612518,Cambria SMCA,SMCA,2007,Mainland,UCSC,2007,8,1,SBTL_SWATH
113,PINNACLES_IN,SPNC01,-121.9661127,36.5594759,Carmel Pinnacles SMR,SMR,2007,Mainland,UCSC,2007,8,15,SBTL_SWATH
114,PINNACLES_OUT,SPNC02,-121.9677367,36.5579363,Carmel Pinnacles SMR,SMR,2007,Mainland,UCSC,2007,8,15,SBTL_SWATH
115,PINOS_CEN,SPNS01,-121.9287343,36.6404538,Pac Grove Marine Gardens SMCA,SMCA,2007,Mainland,UCSC,2007,8,29,SBTL_SWATH
116,PLASKETT_DC,SPLS02,-121.4800787,35.9129127,Piedras Blancas SMR,reference,0,Mainland,UCSC,2003,9,25,SBTL_SWATH
117,PLASKETT_UC,SPLS01,-121.4787328,35.9158708,Piedras Blancas SMR,reference,0,Mainland,UCSC,2003,9,25,SBTL_SWATH
118,POINT_DUME_CEN,SPOD01,-118.8056333,33.99853333,Point Dume SMR,SMR,0,Mainland,UCSB,2010,9,13,SBTL_SWATH
119,PT_JOE_CEN,SPTJ01,-121.9714654,36.6050941,Asilomar SMR,reference,0,Mainland,UCSC,2007,7,25,SBTL_SWATH
120,PT_SUR_DC,SPTS02,-121.8933212,36.2830698,Point Sur SMR,SMR,2007,Mainland,UCSC,1999,10,25,SBTL_SWATH
121,PT_SUR_UC,SPTS01,-121.8988824,36.2912386,Point Sur SMR,SMR,2007,Mainland,UCSC,1999,10,25,SBTL_SWATH
122,PURISIMA_DC,SPUR01,-120.6271384,34.7269485,Vandenberg SMR,SMR,2007,Mainland,UCSC,2008,9,8,SBTL_SWATH
123,PURISIMA_N,SPUR02,-120.6317048,34.7295008,Vandenberg SMR,SMR,2007,Mainland,UCSB,1999,11,16,SBTL_SWATH
124,RADAR_CEN,SRDR01,-121.0734432,35.5122207,White Rock SMCA,SMCA,2007,Mainland,UCSC,2007,8,21,SBTL_SWATH
125,SABER_JETS_CEN,SSBJ01,-122.0340353,36.9480181,Natural Bridges SMR,reference,0,Mainland,UCSC,2007,8,23,SBTL_SWATH
128,SAL_CEN,SSAL06,-120.6325667,34.8719167,Vandenberg SMR,reference,0,Mainland,UCSB,2000,8,24,SBTL_SWATH
129,SAL_N,SSAL03,-120.6344833,34.87315,Vandenberg SMR,reference,0,Mainland,UCSB,1999,11,15,SBTL_SWATH
